Work Location,IT_Salary_From,IT_Salary_To,NonIT_Salary_from,NonIT_Salary_To,Annual_salary_from,Annual_Salary_to,Daily_Salary_from,Daily_Salary_to,Hourly_Salary_from,Hourly_Salary_to,Annual_Salary_freq,Daily_salary_freq,Hourly_salary_freq,Total_Opening,Non_IT,IT,Full_Time,Part_Time
Bronx,0,0,60284.2,76657.2,60284,76657,0,0,0,0,5,0,0,5,5,0,0,5
Manhattan ,0,0,54641.75,93092.75,54642,93093,0,0,0,0,8,0,0,8,8,0,0,8
Queens,47692,69493,62967.90661,106908.131,64335,109152,0,0,28,32,300,0,7,307,305,2,12,295
Bronx,0,0,57729,89304,57729,89304,0,0,0,0,1,0,0,1,1,0,0,1
Manhattan,80000,1.00E+05,0,0,80000,1.00E+05,0,0,0,0,2,0,0,2,0,2,0,2
Manhattan ,0,0,76670.53735,84949.87068,95833,106182,0,0,19,19,12,0,3,15,15,0,2,10
Brooklyn,0,0,34.63,40.3,0,0,0,0,35,40,0,0,2,2,2,0,2,0
S.I,0,0,53134,79726,53134,79726,0,0,0,0,2,0,0,2,2,0,0,2
Brooklyn ,0,0,59151.8,69120.8,59152,69121,0,0,0,0,3,0,0,3,3,0,0,3
Manhattan ,0,0,52524,81535,52524,81535,0,0,0,0,1,0,0,1,1,0,0,1
Manhattan ,0,0,80500,87500,80500,87500,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,0,0,90084,130939,90084,130939,0,0,0,0,2,0,0,2,2,0,0,2
S.I,0,0,85000,90000,85000,90000,0,0,0,0,6,0,0,6,6,0,0,6
Manhattan,0,0,63074,91347,63074,91347,0,0,0,0,2,0,0,2,2,0,0,2
NYC,0,0,66281.5,104469.5,66282,104470,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan,0,0,69491,101848,69491,101848,0,0,0,0,2,0,0,2,2,0,0,2
NYC,0,0,90000,110000,90000,110000,0,0,0,0,1,0,0,1,1,0,0,1
NYC,0,0,50362,78177,50362,78177,0,0,0,0,2,0,0,2,2,0,0,2
Manhattan,0,0,69032,97764.5,69032,97764,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,0,0,84992.5,110636.5,84992,110636,0,0,0,0,8,0,0,8,8,0,4,4
