Work Location,IT_Salary_From,IT_Salary_To,NonIT_Salary_from,NonIT_Salary_To,Annual_salary_from,Annual_Salary_to,Daily_Salary_from,Daily_Salary_to,Hourly_Salary_from,Hourly_Salary_to,Annual_Salary_freq,Daily_salary_freq,Hourly_salary_freq,Total_Opening,Non_IT,IT,Full_Time,Part_Time
59-06 Laurel Hill Blvd,0,0,361.48,361.48,0,0,361,361,0,0,0,1,0,1,1,0,0,1
59-17 Junction Blvd Corona Ny,53323.9066,76443.68378,57682.68464,82959.38228,58303,83752,0,0,29,37,257,0,5,262,237,23,22,240
59 Maiden Lane,70961,120000,39249.63636,50982.34545,57336,80049,276,276,14,18,10,1,2,13,11,2,2,11
60 Bay St. S.I. Ny,0,0,69929,94092,69929,94092,0,0,0,0,2,0,0,2,2,0,0,2
"60 Lafayette St., N.Y.",0,0,34767,45289.66667,34767,45290,0,0,0,0,3,0,0,3,3,0,0,3
"600 W 168Th St., N.Y.",0,0,54457,84641,54457,84641,0,0,0,0,1,0,0,1,1,0,0,1
"65-10 Douglaston Pkwy., Queens",0,0,94983.12,94983.12,94983,94983,0,0,0,0,4,0,0,4,4,0,0,4
"66 John Street, New York, Ny",15.03,17.28,32574.39209,41273.64651,51866,65719,0,0,19,21,27,0,18,45,43,2,18,27
677 Beaverkill Road,0,0,73983.66667,103084.6667,73984,103085,0,0,0,0,6,0,0,6,6,0,0,6
"71 Smith Avenue, Kingston, Ny",0,0,46466,56270,46466,56270,0,0,0,0,2,0,0,2,2,0,0,2
"728 Main St., Roosevelt Is, N.",0,0,277.04,322.4,0,0,277,322,0,0,0,2,0,2,2,0,0,2
75-20 Astoria Blvd,76580.33333,102310.6667,84577.55556,101138.6667,82578,101432,0,0,0,0,24,0,0,24,18,6,0,24
75 Park Place New York Ny,58675,125000,44504.85714,63937.71429,46276,71570,0,0,0,0,8,0,0,8,7,1,4,4
769 Onderdonk Ave Maspeth N.Y.,0,0,77131,84906,77131,84906,0,0,0,0,2,0,0,2,2,0,0,2
"7870 State Rd 42 Grahamsville,",77157,99406,0,0,77157,99406,0,0,0,0,2,0,0,2,0,2,0,2
80 Maiden Lane,78668.5,92194,57936.19753,69172.28395,58912,70256,0,0,0,0,85,0,0,85,81,4,2,83
"83 Maiden Lane, New York Ny",54643,87550,71539,93333.33333,64781,91020,0,0,0,0,5,0,0,5,3,2,0,5
"855 Remsen., Brooklyn",0,0,58786,89729,58786,89729,0,0,0,0,1,0,0,1,1,0,0,1
"88-20 Pitkin Ave., Ozone Park",0,0,343,343,0,0,343,343,0,0,0,2,0,2,2,0,0,2
88-26 Pitkin Avenue,0,0,23076.77857,30913.35,53341,71626,379,379,0,0,3,4,0,7,7,0,0,7
9 Bond Street,0,0,35683,37000,35683,37000,0,0,0,0,2,0,0,2,2,0,0,2
"9 Metrotech Center, Brooklyn N",69706.57072,89567.38616,49011.33333,64002.5,65670,84837,0,0,31,42,27,0,2,29,12,17,0,29
"90-27 Sutphin Blvd, Queens Ny",0,0,73576,73576,73576,73576,0,0,0,0,3,0,0,3,3,0,0,3
"90-37 Parsons Blvd., Queens",0,0,29788.7593,34451.81565,59524,68840,0,0,54,64,6,0,6,12,12,0,6,6
"90-75 Sutphin Blvd, Queens Ny",0,0,37217,41000,37217,41000,0,0,0,0,2,0,0,2,2,0,0,2
"900 Sheridan Ave., Bronx",0,0,60284.2,76657.2,60284,76657,0,0,0,0,5,0,0,5,5,0,0,5
"93 Worth St., N.Y.",0,0,54641.75,93092.75,54642,93093,0,0,0,0,8,0,0,8,8,0,0,8
96-05 Horace Harding Expway,47692,69493,62967.90661,106908.131,64335,109152,0,0,28,32,300,0,7,307,305,2,12,295
Adams Houses,0,0,57729,89304,57729,89304,0,0,0,0,1,0,0,1,1,0,0,1
Analysis & Reporting,80000,1.00E+05,0,0,80000,1.00E+05,0,0,0,0,2,0,0,2,0,2,0,2
"Arsenal 830 Fifth Ave, New Yor",0,0,76670.53735,84949.87068,95833,106182,0,0,19,19,12,0,3,15,15,0,2,10
"Bay 41St St & Gravesend Bay, B",0,0,34.63,40.3,0,0,0,0,35,40,0,0,2,2,2,0,2,0
"Boro Hall Richmond, Staten Isl",0,0,53134,79726,53134,79726,0,0,0,0,2,0,0,2,2,0,0,2
Brooklyn Floating Staff,0,0,59151.8,69120.8,59152,69121,0,0,0,0,3,0,0,3,3,0,0,3
Central Pk 86Th St & Trans Rd,0,0,52524,81535,52524,81535,0,0,0,0,1,0,0,1,1,0,0,1
City Hall,0,0,80500,87500,80500,87500,0,0,0,0,4,0,0,4,4,0,0,4
City Hall Park Chambers St Ny,0,0,90084,130939,90084,130939,0,0,0,0,2,0,0,2,2,0,0,2
"Clove Lake, Faber & W. Brighto",0,0,85000,90000,85000,90000,0,0,0,0,6,0,0,6,6,0,0,6
Codes/Standards,0,0,63074,91347,63074,91347,0,0,0,0,2,0,0,2,2,0,0,2
"Construction, Safety & Quality",0,0,66281.5,104469.5,66282,104470,0,0,0,0,4,0,0,4,4,0,0,4
CP Cap Plan-Financial Planning,0,0,69491,101848,69491,101848,0,0,0,0,2,0,0,2,2,0,0,2
CP Cap Plan-Technical Planning,0,0,90000,110000,90000,110000,0,0,0,0,1,0,0,1,1,0,0,1
CP Sustainability Programs,0,0,50362,78177,50362,78177,0,0,0,0,2,0,0,2,2,0,0,2
Design-Architecture,0,0,69032,97764.5,69032,97764,0,0,0,0,4,0,0,4,4,0,0,4
Design-Engineering,0,0,84992.5,110636.5,84992,110636,0,0,0,0,8,0,0,8,8,0,4,4
Design-Office of Director,0,0,75338,194395,75338,194395,0,0,0,0,2,0,0,2,2,0,0,2
DMP-Contract & Analysis Unit,0,0,35,35,0,0,0,0,35,35,0,0,2,2,2,0,0,2
Equal Opportunity Department,0,0,57944,70353,57944,70353,0,0,0,0,2,0,0,2,2,0,0,2
EVP-Compliance,0,0,185000,195000,185000,195000,0,0,0,0,2,0,0,2,2,0,0,2
Flushing Meadow Pk Olmsted Ctr,52524,81535,75961.96296,86276.40741,73618,85802,0,0,0,0,30,0,0,30,27,3,0,30
Forest Pk 80-30 Park Lane Quee,0,0,112371,112371,112371,112371,0,0,0,0,6,0,0,6,6,0,0,6
"Hazen St-Sod-Supp.Svcs., E.Elm",0,0,36.1944,38.7868,0,0,0,0,36,39,0,0,2,2,2,0,2,0
"Hazen St-Trans. Div., E. Elm,",0,0,277.04,322.4,0,0,277,322,0,0,0,2,0,2,2,0,0,2
Heating Mgt-Operations,0,0,44510.496,55795.024,44510,55795,0,0,0,0,10,0,0,10,10,0,0,10
